datetime,price_EUR_per_MWh,nuclear_MW,non_renewable_MW,renewable_MW
2025-01-09 08:00:00,170.52,2945.6692486759,462.5,462.5
2025-01-09 09:00:00,151.0,2945.739322164949,462.5,462.5
2025-01-09 10:00:00,149.38,2955.0991382022767,462.5,462.5
2025-01-09 11:00:00,144.38,2955.9300095724348,462.5,462.5
2025-01-09 12:00:00,138.9,2945.939532133661,462.5,462.5
2025-01-09 13:00:00,134.69,2937.6608499273834,462.5,462.5
2025-01-09 14:00:00,131.4,2941.7651542859976,462.5,462.5
2025-01-09 15:00:00,132.9,2943.086540079503,462.5,462.5
2025-01-09 16:00:00,131.39,2944.7182513245134,462.5,462.5
2025-01-09 17:00:00,135.0,2949.4932590783155,462.5,462.5
2025-01-09 18:00:00,134.99,2957.7519202877224,462.5,462.5
2025-01-09 19:00:00,132.9,2963.958429317822,462.5,462.5
2025-01-09 20:00:00,126.89,2966.4410329298616,462.5,462.5
2025-01-09 21:00:00,123.09,2969.7144659183173,462.5,462.5
2025-01-09 22:00:00,122.07,2979.3545759118438,462.5,462.5
2025-01-09 23:00:00,114.97,2979.0242294634672,462.5,462.5
2025-01-10 00:00:00,109.15,2978.123284604259,462.5,462.5
2025-01-10 01:00:00,105.5,2969.764518410496,462.5,462.5
2025-01-10 02:00:00,98.99,2970.1949698432286,462.5,462.5
2025-01-10 03:00:00,95.51,2970.2650433322783,462.5,462.5
2025-01-10 04:00:00,95.71,2968.3930801248125,462.5,462.5
2025-01-10 05:00:00,106.81,2968.0927651717434,462.5,462.5
2025-01-10 06:00:00,117.19,2965.7402980393667,462.5,462.5
2025-01-10 07:00:00,126.1,2964.388880750555,462.5,462.5
2025-01-10 08:00:00,133.88,2962.687096016495,462.5,462.5
2025-01-10 09:00:00,131.8,2965.540088070654,462.5,462.5
2025-01-10 10:00:00,127.2,2967.4921352656047,462.5,462.5
2025-01-10 11:00:00,122.47,2963.1575894429707,462.5,462.5
2025-01-10 12:00:00,120.39,2965.840403023723,462.5,462.5
2025-01-10 13:00:00,117.2,2969.844602397981,462.5,462.5
2025-01-10 14:00:00,117.2,2969.844602397981,462.5,462.5
2025-01-10 15:00:00,127.83,2969.0137310278224,462.5,462.5
2025-01-10 16:00:00,137.3,2969.113836012179,462.5,462.5
2025-01-10 17:00:00,146.19,2971.0959147024364,462.5,462.5
2025-01-10 18:00:00,148.33,2972.7676679411893,462.5,462.5
2025-01-10 19:00:00,143.04,2978.223389588615,462.5,462.5
2025-01-10 20:00:00,133.19,2978.623809526041,462.5,462.5
2025-01-10 21:00:00,125.53,2980.2755417679227,462.5,462.5
2025-01-10 22:00:00,122.1,2982.207567966002,462.5,462.5
2025-01-10 23:00:00,117.51,2980.155415786695,462.5,462.5
2025-01-11 00:00:00,113.68,2973.0179304020803,462.5,462.5
2025-01-11 01:00:00,113.02,2974.569557659605,462.5,462.5
2025-01-11 02:00:00,109.0,2975.1001140766944,462.5,462.5
2025-01-11 03:00:00,107.76,2975.0200300892093,462.5,462.5
2025-01-11 04:00:00,107.44,2974.7697676283183,462.5,462.5
2025-01-11 05:00:00,108.59,2973.598539311348,462.5,462.5
2025-01-11 06:00:00,111.74,2972.897804420853,462.5,462.5
2025-01-11 07:00:00,114.98,2973.2982243582783,462.5,462.5
2025-01-11 08:00:00,120.3,2972.667562956833,462.5,462.5
2025-01-11 09:00:00,119.07,2973.218140370793,462.5,462.5
2025-01-11 10:00:00,114.97,2973.718665292575,462.5,462.5
2025-01-11 11:00:00,108.97,2969.7945499058023,462.5,462.5
2025-01-11 12:00:00,108.59,2971.145967194615,462.5,462.5
2025-01-11 13:00:00,108.59,2969.4141509652486,462.5,462.5
2025-01-11 14:00:00,108.59,2968.2128911529708,462.5,462.5
2025-01-11 15:00:00,112.06,2969.0637835200005,462.5,462.5
2025-01-11 16:00:00,119.8,2971.396229655506,462.5,462.5
2025-01-11 17:00:00,127.69,2972.747646944318,462.5,462.5
2025-01-11 18:00:00,133.08,2970.2650433322783,462.5,462.5
2025-01-11 19:00:00,132.89,2969.344077476199,462.5,462.5
2025-01-11 20:00:00,127.1,2970.895704733724,462.5,462.5
2025-01-11 21:00:00,123.02,2970.745547257189,462.5,462.5
2025-01-11 22:00:00,121.2,2973.2481718661,462.5,462.5
2025-01-11 23:00:00,113.3,2972.4973844834267,462.5,462.5
2025-01-12 00:00:00,103.08,2973.618560308219,462.5,462.5
