datetime,price_EUR_per_MWh,nuclear_MW,non_renewable_MW,renewable_MW,end_user_consumption_MWh,total_production_MWh,total_consumption_MWh,grid_feed_in_MWh,net_outflow_MWh,total_import_MWh,total_export_MWh,net_import_MWh,end_user_consumption_MW_avg,total_production_MW_avg,total_consumption_MW_avg,total_import_MW_avg,total_export_MW_avg,net_import_MW_avg
2025-05-14 10:00:00,8.28,1724.108146,362.5,6930.299525,6068.174580234092,7225.319424,8074.162971645896,3851.679777283504,736.7681743541044,4137.861,3291.605,846.2559999999997,6068.174580234092,7225.319424,8074.162971645896,4137.861,3291.605,846.2559999999997
2025-05-14 11:00:00,5.05,1717.000692,362.5,7783.094821,6099.747066638339,7761.59745,8282.082908764565,3646.234408809636,394.4034172354354,4107.961,3590.936,517.025,6099.747066638339,7761.59745,8282.082908764565,4107.961,3590.936,517.025
2025-05-14 12:00:00,1.28,1717.000692,362.5,8227.988248,5789.299038396215,7889.347687,7951.31765010707,3251.487649359329,3.028420415286324,4037.648,3981.868,55.78000000000054,5789.299038396215,7889.347687,7951.31765010707,4037.648,3981.868,55.78000000000054
2025-05-14 13:00:00,-2.99,1714.698277,362.5,8359.771203,5645.782825815564,7896.01606,7871.252096907908,3201.872911200092,0.0,4063.537,4095.27,-31.73299999999972,5645.782825815564,7896.01606,7871.252096907908,4063.537,4095.27,-31.73299999999972
2025-05-14 14:00:00,2.6,1713.797332,362.5,8200.626826,5509.268206832086,7840.536745000001,7860.792793304071,3350.381507574328,0.0,3952.693,3936.51,16.18299999999965,5509.268206832086,7840.536745000001,7860.792793304071,3952.693,3936.51,16.18299999999965
2025-05-14 15:00:00,3.97,1713.096597,362.5,7678.311436,5462.554959201406,7487.615729000002,7775.03365223512,3472.218454464878,166.918782764878,3945.15,3659.822,285.3280000000002,5462.554959201406,7487.615729000002,7775.03365223512,3945.15,3659.822,285.3280000000002
2025-05-14 16:00:00,4.48,1712.295757,362.5,6888.958843,5471.318605009078,7038.668011,7794.949027388504,3890.369478174896,643.3541256114964,4158.654,3401.606,757.0479999999999,5471.318605009078,7038.668011,7794.949027388504,4158.654,3401.606,757.0479999999999
2025-05-14 17:00:00,59.69,1713.096597,362.5,5887.133702,5627.458110561762,6655.859409000002,7418.806981925401,3974.763145440599,650.8278550745991,3530.892,2771.609,759.2830000000004,5627.458110561762,6655.859409000002,7418.806981925401,3530.892,2771.609,759.2830000000004
2025-05-14 18:00:00,91.62,1712.996492,362.5,5493.690747,5889.011796546067,6833.060896000001,6599.892174892132,3626.738479291668,134.7622712979632,2620.181,2854.049,-233.8680000000002,5889.011796546067,6833.060896000001,6599.892174892132,2620.181,2854.049,-233.8680000000002
2025-05-14 19:00:00,116.26,1713.196702,362.5,5937.167818,5903.556783291906,8730.674460999999,6312.495014857232,3741.866244799168,0.0,1872.452,4291.9,-2419.448,5903.556783291906,8730.674460999999,6312.495014857232,1872.452,4291.9,-2419.448
2025-05-14 20:00:00,122.06,1715.098697,362.5,5550.43879,5914.423882361521,9642.684951,6327.630355436064,3928.841325920335,0.0,1860.89,5178.655,-3317.765,5914.423882361521,9642.684951,6327.630355436064,1860.89,5178.655,-3317.765
2025-05-14 21:00:00,113.94,1717.401112,362.5,5195.822265,5937.387948785359,9551.269152,6338.992896696038,3996.813687252162,0.0,1792.003,5006.027999999999,-3214.025,5937.387948785359,9551.269152,6338.992896696038,1792.003,5006.027999999999,-3214.025
2025-05-14 22:00:00,100.17,1718.602371,362.5,4361.491316,5729.467317213678,7811.815000999999,6146.750337884296,4019.143102486303,0.0,2282.196,3948.774,-1666.578000000001,5729.467317213678,7811.815000999999,6146.750337884296,2282.196,3948.774,-1666.578000000001
2025-05-14 23:00:00,89.75,1720.604471,362.5,3405.51252,5317.939709521526,6398.515106999999,6049.847311397982,4067.70458258282,0.0,2583.672,2934.077,-350.4050000000002,5317.939709521526,6398.515106999999,6049.847311397982,2583.672,2934.077,-350.4050000000002
2025-05-15 00:00:00,92.71,1722.706676,362.5,3530.940351,5032.14090379386,5746.855871,5663.913789730803,3770.134529691397,0.0,2762.348,2847.244,-84.8960000000003,5032.14090379386,5746.855871,5663.913789730803,2762.348,2847.244,-84.8960000000003
2025-05-15 01:00:00,86.26,1723.907936,362.5,3149.54635,4872.227855344068,5390.017137,5570.23782544266,3729.897919289738,68.35264655733808,2925.148,2746.452,178.696,4872.227855344068,5390.017137,5570.23782544266,2925.148,2746.452,178.696
2025-05-15 02:00:00,86.37,1725.509615,362.5,3042.015971,4757.652348892859,5202.856816,5452.157823004416,3644.338035161584,144.4512399955846,2853.238,2605.27,247.9680000000003,4757.652348892859,5202.856816,5452.157823004416,2853.238,2605.27,247.9680000000003
2025-05-15 03:00:00,86.93,1726.61077,362.5,2930.303585,4638.249639415924,5081.704904000001,5354.178776736521,3569.693481367678,172.9320952634777,2824.511,2553.661,270.8499999999999,4638.249639415924,5081.704904000001,5354.178776736521,2824.511,2553.661,270.8499999999999
2025-05-15 04:00:00,87.45,1728.01224,362.5,3548.584318,4590.787570439405,5621.710191,5112.560248328024,3290.208148353777,0.0,2612.117,3122.555,-510.4379999999999,4590.787570439405,5621.710191,5112.560248328024,2612.117,3122.555,-510.4379999999999
2025-05-15 05:00:00,90.01,1726.01014,362.5,4117.216695,5060.078301709727,7034.222819,5468.495836172567,3473.516543871634,0.0,2160.841,3727.341,-1566.5,5060.078301709727,7034.222819,5468.495836172567,2160.841,3727.341,-1566.5
