datetime,end_user_consumption_MWh,total_production_MWh,total_consumption_MWh,net_outflow_MWh,grid_feed_in_MWh,import_AT_MWh,import_DE_MWh,import_FR_MWh,import_IT_MWh,export_AT_MWh,export_DE_MWh,export_FR_MWh,export_IT_MWh,total_import_MWh,total_export_MWh,net_import_MWh,end_user_consumption_MW_avg,total_production_MW_avg,total_consumption_MW_avg,total_import_MW_avg,total_export_MW_avg,net_import_MW_avg,net_import_check_MWh
2025-09-07 17:00:00,4588.569725154448,5845.530911,7087.756362359201,1135.0784976408,4113.2754496456,57.413,1140.709,2183.964,97.128,582.874,477.209,0.0,1176.251,3479.214,2236.334,1242.88,4588.569725154448,5845.530911,7087.756362359201,3479.214,2236.334,1242.88,1242.88
2025-09-07 18:00:00,5054.444553414977,6097.293419000001,6216.920172222401,83.16869154259982,3665.089663,36.9,921.577,2153.831,104.409,825.917,1200.424,0.0,1069.053,3216.717,3095.394,121.3229999999999,5054.444553414977,6097.293419000001,6216.920172222401,3216.717,3095.394,121.3229999999999,121.32300000000032
2025-09-07 19:00:00,5329.745764088133,8261.166400000002,5774.4369736776,0.0,3448.133663,35.2,597.808,1028.479,64.938,911.022,1665.231,103.617,1532.251,1726.425,4212.121,-2485.696,5329.745764088133,8261.166400000002,5774.4369736776,1726.425,4212.121,-2485.696,-2485.696
2025-09-07 20:00:00,5388.29887258099,7556.067394,5823.3662357826,0.0,3488.158332,34.3,932.311,1244.161,58.882,711.744,1381.936,6.257,1900.6,2269.654,4000.537,-1730.883,5388.29887258099,7556.067394,5823.3662357826,2269.654,4000.537,-1730.883,-1730.8829999999998
2025-09-07 21:00:00,5166.0477341994,6813.526605,5610.3066838718,0.0,3345.405332,33.3,1197.802,1825.224,52.413,688.471,1043.864,0.0,2577.06,3108.739,4309.395,-1200.655999999999,5166.0477341994,6813.526605,5610.3066838718,3108.739,4309.395,-1200.655999999999,-1200.6560000000004
2025-09-07 22:00:00,4965.488330229608,5951.725499,5471.6313659818,0.0,3293.265998,35.035,1256.518,2011.621,72.046,598.551,838.748,0.0,2416.332,3375.22,3853.631,-478.4110000000001,4965.488330229608,5951.725499,5471.6313659818,3375.22,3853.631,-478.4110000000001,-478.41100000000006
2025-09-07 23:00:00,4591.417824032558,5196.107972,5102.132354851001,0.0,3054.230131,36.425,1242.207,1988.499,64.239,491.651,627.832,0.0,2303.114,3331.37,3422.597,-91.22699999999952,4591.417824032558,5196.107972,5102.132354851001,3331.37,3422.597,-91.22699999999952,-91.22700000000032
2025-09-08 00:00:00,4393.848254793857,4679.879741999999,5396.443609567199,604.0776444328001,3516.166096,128.001,1209.54,1926.869,54.121,333.473,310.84,0.0,1954.905,3318.531,2599.218,719.3129999999998,4393.848254793857,4679.879741999999,5396.443609567199,3318.531,2599.218,719.3129999999998,719.3130000000001
2025-09-08 01:00:00,4260.598358344067,4771.000604000001,5256.691174217599,371.5112077823998,3398.191997,195.426,1216.966,1868.393,49.619,321.9,297.776,0.0,2222.961,3330.404,2842.637,487.7669999999998,4260.598358344067,4771.000604000001,5256.691174217599,3330.404,2842.637,487.7669999999998,487.7669999999998
2025-09-08 02:00:00,4183.446443892857,4728.574154,5208.624179345999,359.9174566539999,3381.105897,208.603,1238.746,2063.466,53.251,338.2,430.052,0.0,2313.399,3564.066,3081.651,482.4149999999999,4183.446443892857,4728.574154,5208.624179345999,3564.066,3081.651,482.4149999999999,482.41499999999996
2025-09-08 03:00:00,4096.028757415927,4658.828237999999,5041.974576649198,261.0166873507998,3190.09113,230.303,1309.094,2093.538,46.346,360.0,391.972,0.0,2542.388,3679.281,3294.36,384.9210000000002,4096.028757415927,4658.828237999999,5041.974576649198,3679.281,3294.36,384.9210000000002,384.9209999999998
2025-09-08 04:00:00,4063.461009439408,4753.911294,4822.563513852199,2.301467319799936,2965.403997,129.226,1314.597,2121.692,52.224,394.5,554.528,0.0,2598.415,3617.739000000001,3547.443,70.29600000000039,4063.461009439408,4753.911294,4822.563513852199,3617.739000000001,3547.443,70.29600000000039,70.29600000000073
2025-09-08 05:00:00,4516.93211970973,5854.074297,5029.5692329624,0.0,2998.712814,38.328,1118.109,1851.607,75.149,549.617,1031.744,38.369,2285.933,3083.193,3905.663,-822.4699999999999,4516.93211970973,5854.074297,5029.5692329624,3083.193,3905.663,-822.4699999999999,-822.4699999999998
2025-09-08 06:00:00,5398.141578479876,9583.639378,5823.300624064799,0.0,3434.624665,34.1,656.023,1239.243,75.149,1112.204,2184.669,592.178,1873.369,2004.515,5762.42,-3757.905,5398.141578479876,9583.639378,5823.300624064799,2004.515,5762.42,-3757.905,-3757.9049999999997
2025-09-08 07:00:00,6122.959295075862,10922.432228,6564.698808420799,0.0,3866.811332,37.3,479.452,736.708,66.273,844.2929999999999,2233.739,796.6429999999999,1800.994,1319.733,5675.669,-4355.936,6122.959295075862,10922.432228,6564.698808420799,1319.733,5675.669,-4355.936,-4355.936
2025-09-08 08:00:00,6412.456375584649,10445.828523,6851.588079613598,0.0,4045.908999,38.0,570.168,801.268,62.993,459.053,1868.552,548.1220000000001,2190.358,1472.429,5066.085,-3593.656,6412.456375584649,10445.828523,6851.588079613598,1472.429,5066.085,-3593.656,-3593.656
2025-09-08 09:00:00,6497.082647159992,7856.323103999999,6875.6300188252,0.0,3953.397998,458.97,648.917,1389.819,49.899,47.924,826.696,84.568,2567.386,2547.605,3526.574,-978.9689999999998,6497.082647159992,7856.323103999999,6875.6300188252,2547.605,3526.574,-978.9689999999998,-978.969
2025-09-08 10:00:00,6608.838245659577,6375.163995999999,7109.8965658814,615.6295641185999,4077.649331,990.543,1112.305,1700.318,55.567,55.6,79.288,0.0,2988.853,3858.733,3123.741,734.9919999999998,6608.838245659577,6375.163995999999,7109.8965658814,3858.733,3123.741,734.9919999999998,734.9920000000002
2025-09-08 11:00:00,6836.764731069135,6529.329777999999,7607.342031439401,953.7490645606003,4447.6821623256,1077.787,1356.249,1921.885,54.819,169.2,57.4,0.0,3105.765,4410.74,3332.365,1078.375,6836.764731069135,6529.329777999999,7607.342031439401,4410.74,3332.365,1078.375,1078.375
2025-09-08 12:00:00,6503.456622158574,6333.066997999999,7220.724525500999,766.6694314989999,4118.671000499,1034.964,1269.74,1821.649,31.543,107.2,67.8,0.0,3092.549,4157.896,3267.549,890.3470000000001,6503.456622158574,6333.066997999999,7220.724525500999,4157.896,3267.549,890.3470000000001,890.3469999999998
2025-09-08 13:00:00,6529.200122940519,6454.16975,7438.374850558401,849.2974944416,4325.2127004416,1057.421,1317.574,2072.121,24.326,17.5,64.9,0.0,3402.541,4471.442,3484.941,986.5010000000008,6529.200122940519,6454.16975,7438.374850558401,4471.442,3484.941,986.5010000000008,986.5010000000002
2025-09-08 14:00:00,6509.578341516452,6602.573606,7516.078736814999,772.8402811850001,4603.7446953186,1085.086,1373.623,2141.183,24.491,20.5,91.6,0.0,3597.891,4624.383,3709.991,914.392,6509.578341516452,6602.573606,7516.078736814999,4624.383,3709.991,914.392,914.3919999999998
2025-09-08 15:00:00,6450.814674137101,6591.331818529778,6950.1227771146,212.8319808854001,4218.170998,861.815,1547.299,1927.538,25.394,142.7,201.504,1.34,3657.073,4362.046,4002.617,359.4289999999994,6450.814674137101,6591.331818529778,6950.1227771146,4362.046,4002.617,359.4289999999994,359.4290000000001
2025-09-08 16:00:00,6329.280787789609,8618.126670874666,6811.783469170601,0.0,4087.270149,401.184,1079.701,1529.273,57.70200000000001,192.19,892.596,267.961,3519.815,3067.86,4872.562,-1804.702,6329.280787789609,8618.126670874666,6811.783469170601,3067.86,4872.562,-1804.702,-1804.7019999999998
