datetime,price_EUR_per_MWh,load_MW,production_MW,import_MW,export_MW,net_balance_MW,deficit_MW,surplus_MW,action,pump_MWh,generation_MWh,storage_MWh,cost_EUR,revenue_EUR,profit_EUR,deficit_after_storage_MW,surplus_after_storage_MW,import_reduction_MWh,surplus_absorbed_MWh,low_threshold,high_threshold,scenario
2025-01-03 18:00:00,146.29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,pump,900.0,0.0,868843.0,131661.0,0.0,-131661.0,0.0,0.0,0.0,0.0,0.0,,surplus_absorption
2025-01-03 19:00:00,143.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,pump,900.0,0.0,869572.0,129510.0,0.0,-129510.0,0.0,0.0,0.0,0.0,0.0,,surplus_absorption
2025-01-03 20:00:00,137.92,0.0,0.0,0.0,0.0,0.0,0.0,0.0,pump,900.0,0.0,870301.0,124127.99999999999,0.0,-124127.99999999999,0.0,0.0,0.0,0.0,0.0,,surplus_absorption
2025-01-03 21:00:00,131.06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,pump,900.0,0.0,871030.0,117954.0,0.0,-117954.0,0.0,0.0,0.0,0.0,0.0,,surplus_absorption
2025-01-03 22:00:00,129.81,0.0,0.0,0.0,0.0,0.0,0.0,0.0,pump,900.0,0.0,871759.0,116829.0,0.0,-116829.0,0.0,0.0,0.0,0.0,0.0,,surplus_absorption
2025-01-03 23:00:00,126.99,0.0,0.0,0.0,0.0,0.0,0.0,0.0,pump,900.0,0.0,872488.0,114291.0,0.0,-114291.0,0.0,0.0,0.0,0.0,0.0,,surplus_absorption
2025-01-04 00:00:00,120.59,0.0,0.0,0.0,0.0,0.0,0.0,0.0,pump,900.0,0.0,873217.0,108531.0,0.0,-108531.0,0.0,0.0,0.0,0.0,0.0,,surplus_absorption
2025-01-04 01:00:00,119.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,pump,900.0,0.0,873946.0,107325.0,0.0,-107325.0,0.0,0.0,0.0,0.0,0.0,,surplus_absorption
2025-01-04 02:00:00,114.93,0.0,0.0,0.0,0.0,0.0,0.0,0.0,pump,900.0,0.0,874675.0,103437.0,0.0,-103437.0,0.0,0.0,0.0,0.0,0.0,,surplus_absorption
2025-01-04 03:00:00,110.68,0.0,0.0,0.0,0.0,0.0,0.0,0.0,pump,900.0,0.0,875404.0,99612.0,0.0,-99612.0,0.0,0.0,0.0,0.0,0.0,,surplus_absorption
2025-01-04 04:00:00,110.28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,pump,900.0,0.0,876133.0,99252.0,0.0,-99252.0,0.0,0.0,0.0,0.0,0.0,,surplus_absorption
2025-01-04 05:00:00,111.06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,pump,900.0,0.0,876862.0,99954.0,0.0,-99954.0,0.0,0.0,0.0,0.0,0.0,,surplus_absorption
2025-01-04 06:00:00,119.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,pump,900.0,0.0,877591.0,107280.0,0.0,-107280.0,0.0,0.0,0.0,0.0,0.0,,surplus_absorption
2025-01-04 07:00:00,126.11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,pump,900.0,0.0,878320.0,113499.0,0.0,-113499.0,0.0,0.0,0.0,0.0,0.0,,surplus_absorption
2025-01-04 08:00:00,132.07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,pump,900.0,0.0,879049.0,118863.0,0.0,-118863.0,0.0,0.0,0.0,0.0,0.0,,surplus_absorption
2025-01-04 09:00:00,133.57,0.0,0.0,0.0,0.0,0.0,0.0,0.0,pump,900.0,0.0,879778.0,120213.0,0.0,-120213.0,0.0,0.0,0.0,0.0,0.0,,surplus_absorption
2025-01-04 10:00:00,131.06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,pump,900.0,0.0,880507.0,117954.0,0.0,-117954.0,0.0,0.0,0.0,0.0,0.0,,surplus_absorption
2025-01-04 11:00:00,126.09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,pump,900.0,0.0,881236.0,113481.0,0.0,-113481.0,0.0,0.0,0.0,0.0,0.0,,surplus_absorption
